Month, Date, Time, Loc, Crime
Jantoapril, Firstten, slottwo, Gulshan, Yes
Septooctober, Thirdten, slottwo, Gulshan, Yes
Septooctober, Thirdten, slottwo, Numaish, Yes
Jantoapril, Thirdten, slotone, Johar, Yes
Jantoapril, Thirdten, slotone, Johar, Yes
Jantoapril, Thirdten, slottwo, Numaish, No
Jantoapril, Secondten, slottwo, Numaish, No
Septooctober, Secondten, slotone, Johar, Yes
Jantoapril, Thirdten, slottwo, Johar, No
Jantoapril, Secondten, slottwo, Gulshan, No
Maytoaugust, Firstten, slottwo, Gulshan, Yes
Maytoaugust, Thirdten, slottwo, Gulshan, No
Jantoapril, Firstten, slottwo, Johar, Yes
Maytoaugust, Firstten, slottwo, Numaish, No
Jantoapril, Thirdten, slottwo, Numaish, No
Jantoapril, Thirdten, slottwo, Gulshan, Yes
Jantoapril, Firstten, slotone, Johar, Yes
Maytoaugust, Firstten, slotone, Johar, Yes
